security_id,nse_symbol,isin,company_name,issuer_id,exchange_id,listing_date,active_flag,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
219,AURIGROW,INE925Y01036,AURI GROW INDIA LIMITED,219,1,2020-12-24,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
220,AURIONPRO,INE132H01018,AURIONPRO SOLUTIONS LIMITED,220,1,2005-10-25,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
221,AUROPHARMA,INE406A01037,AUROBINDO PHARMA LIMITED,221,1,2000-07-19,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
222,AURUM,INE898S01029,AURUM PROPTECH LIMITED,222,1,2015-08-19,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
223,AUSOMENT,INE218C01016,AUSOM ENTERPRISE LIMITED,223,1,1996-04-17,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
224,AUTOAXLES,INE449A01011,AUTOMOTIVE AXLES LIMITED,224,1,2003-05-29,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
225,AUTOIND,INE718H01014,AUTOLINE INDUSTRIES LIMITED,225,1,2007-01-31,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
226,AVADHSUGAR,INE349W01017,AVADH SUGAR AND ENERGY LIMITED,226,1,2017-07-28,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
227,AVAILFC,INE325G01010,AVAILABLE FINANCE LIMITED,227,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
228,AVALON,INE0LCL01028,AVALON TECHNOLOGIES LIMITED,228,1,2023-04-18,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
229,AVANTEL,INE005B01027,AVANTEL LIMITED,229,1,2024-07-31,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
230,AVANTIFEED,INE871C01038,AVANTI FEEDS LIMITED,230,1,2015-04-15,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
231,AVG,INE680Z01018,AVG LOGISTICS LIMITED,231,1,2023-05-12,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
232,AVG-RE,INE680Z20018,AVG LOGISTICS LIMITED-RE,232,1,2026-06-01,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
233,AVL,INE679V01027,ADITYA VISION LIMITED,233,1,2024-11-06,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
234,AVONMORE,INE323B01024,AVONMORE CAPITAL AND MANAGEMENT SERVICES LIMITED,234,1,2023-01-04,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
235,AVROIND,INE652Z01025,AVRO INDIA LIMITED,235,1,2022-04-07,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
236,AVTNPL,INE488D01021,AVT NATURAL PRODUCTS LIMITED,236,1,2007-01-10,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
237,AWFIS,INE108V01019,AWFIS SPACE SOLUTIONS LIMITED,237,1,2024-05-30,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
