issuer_id,issuer_name,sector,market_cap_category,country
288,BALMER LAWRIE AND COMPANY LIMITED,,,India
289,BAL PHARMA LIMITED,,,India
290,BALRAMPUR CHINI MILLS LIMITED,,,India
291,BALU FORGE INDUSTRIES LIMITED,,,India
292,BANARAS BEADS LIMITED,,,India
293,BANNARI AMMAN SUGARS LIMITED,,,India
294,BANCO PRODUCTS (I) LIMITED,,,India
295,BANDHAN BANK LIMITED,,,India
296,BANG OVERSEAS LIMITED,,,India
297,BANKA BIOLOO LIMITED,,,India
298,BANK OF BARODA,,,India
299,BANK OF INDIA,,,India
300,BANSAL WIRE INDUSTRIES LIMITED,,,India
301,BANSWARA SYNTEX LIMITED,,,India
302,BASF INDIA LIMITED,,,India
303,BANNARI AMMAN SPINNING MILLS LIMITED,,,India
304,BATA INDIA LIMITED,,,India
305,BATLIBOI LIMITED,,,India
306,BAYER CROPSCIENCE LIMITED,,,India
307,BHARAT BIJLEE LIMITED,,,India
308,BLACK BOX LIMITED,,,India
309,THE BOMBAY BURMAH TRADING CORPORATION LIMITED,,,India
310,BANDB TRIPLEWALL CONTAINERS LIMITED,,,India
311,BRIGHTCOM GROUP LIMITED,,,India
312,BCL INDUSTRIES LIMITED,,,India
313,BRAND CONCEPTS LIMITED,,,India
314,BCPL RAILWAY INFRASTRUCTURE LIMITED,,,India
315,BHARAT DYNAMICS LIMITED,,,India
316,BEARDSELL LIMITED,,,India
317,MRS. BECTORS FOOD SPECIALITIES LIMITED,,,India
318,BEDMUTHA INDUSTRIES LIMITED,,,India
319,BEEKAY STEEL INDUSTRIES LIMITED,,,India
320,BHARAT ELECTRONICS LIMITED,,,India
321,BELLA CASA FASHION AND RETAIL LIMITED,,,India
322,BELRISE INDUSTRIES LIMITED,,,India
323,BEML LIMITED,,,India
324,BENARES HOTELS LIMITED,,,India
325,BENGAL AND ASSAM COMPANY LIMITED,,,India
326,BHANSALI ENGINEERING POLYMERS LIMITED,,,India
327,BERGER PAINTS (I) LIMITED,,,India
328,BEST AGROLIFE LIMITED,,,India
329,BETA DRUGS LIMITED,,,India
330,BF INVESTMENT LIMITED,,,India
331,BF UTILITIES LIMITED,,,India
332,BGR ENERGY SYSTEMS LIMITED,,,India
333,BHAGIRADHA CHEMICALS AND INDUSTRIES LIMITED,,,India
334,BHAGERIA INDUSTRIES LIMITED,,,India
335,BHAGYANAGAR INDIA LIMITED,,,India
336,BHANDARI HOSIERY EXPORTS LIMITED,,,India
337,BHARAT COKING COAL LIMITED,,,India
338,BHARAT FORGE LIMITED,,,India
339,BHARAT GEARS LIMITED,,,India
340,BHARAT RASAYAN LIMITED,,,India
341,BHARAT SEATS LIMITED,,,India
342,BHARAT WIRE ROPES LIMITED,,,India
343,BHARTI AIRTEL LIMITED,,,India
344,BHARTI HEXACOM LIMITED,,,India
345,BHARAT HEAVY ELECTRICALS LIMITED,,,India
346,BILCARE LIMITED,,,India
347,BIGBLOC CONSTRUCTION LIMITED,,,India
348,BIKAJI FOODS INTERNATIONAL LIMITED,,,India
349,BHARTIYA INTERNATIONAL LIMITED,,,India
350,BIL VYAPAR LIMITED,,,India
351,BIMETAL BEARINGS LIMITED,,,India
352,BIOCON LIMITED,,,India
353,BIOFIL CHEMICALS AND PHARMACEUTICALS LIMITED,,,India
354,BIRLA CABLE LIMITED,,,India
355,BIRLA CORPORATION LIMITED,,,India
356,ADITYA BIRLA MONEY LIMITED,,,India
