security_id,trading_date,open_price,high_price,low_price,close_price,volume,normalization_error,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
160.0,2026-09-02,1259.1,1260.0,1232.1,1240.3,282041,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
161.0,2026-09-02,17401.0,17444.0,16500.0,16813.0,94227,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
163.0,2026-09-02,638.0,642.4,617.05,628.65,107750,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
164.0,2026-09-02,374.7,379.0,363.9,367.25,140115,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
165.0,2026-09-02,2219.2,2228.5,2186.7,2210.0,786402,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
168.0,2026-09-02,8680.0,8746.5,8640.0,8719.0,169190,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
167.0,2026-09-02,378.75,389.1,374.35,382.65,4275794,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
169.0,2026-09-02,588.65,612.0,588.6,599.05,159504,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
171.0,2026-09-02,1213.4,1234.7,1201.2,1221.2,1311,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
170.0,2026-09-02,439.25,440.75,432.2,434.15,333100,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
172.0,2026-09-02,26.58,26.58,25.25,25.25,500,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
173.0,2026-09-02,91.41,92.75,89.0,90.78,42019,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
174.0,2026-09-02,252.0,256.61,249.2,254.28,466564,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
175.0,2026-09-02,21.5,22.05,20.61,20.61,684411,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
45.0,2026-09-02,490.0,501.0,484.15,494.1,635843,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
57.0,2026-09-02,76.93,76.93,71.75,76.4,1341,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
176.0,2026-09-02,102.05,107.65,102.02,106.52,33961,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
177.0,2026-09-02,13.46,13.46,12.65,12.94,27463,,nse_symbols_consolidated.csv,2026-09-02,,1.0,False
